Clapeyron Database File,,,,,,
SaftVRMie Assoc Parameters [csvtype = assoc,grouptype = SAFTgammaMie]
species1,site1,species2,site2,epsilon_assoc,bondvol,source
aCH,e1,H2O,H,563.56,3.3961E-28,
aCH,e1,aCCOOH,H,3961.5,2.3401E-32,
aCCH2,e1,H2O,H,563.56,3.3961E-28,
aCCH2,e1,aCCOOH,H,3961.5,2.3401E-32,
aCCH,e1,H2O,H,563.56,3.3961E-28,
COOH,e1,COOH,H,6427.9,8.062E-31,
COOH,e1,H2O,H,1451.8,2.8089E-28,
COOH,e2,H2O,H,1252.6,1.5098E-28,
COOH,H,H2O,e1,2567.7,2.7009E-28,
COOH,e1,CH2OH,H,1062.1,2.1067E-28,
COOH,e2,CH2OH,H,997.89,2.2707E-28,
COOH,H,CH2OH,e1,3238.4,3.605E-29,
CH3COCH3,H,CH3COCH3,e1,980.2,2.8652E-27,
CH3COCH3,e1,H2O,H,1588.7,7.7277E-28,
CH3COCH3,e2,H2O,H,417.24,1.3043E-27,
CH3COCH3,H,H2O,e1,1386.8,1.8883E-28,
CH3COCH3,e1,OH,H,1492.9,9.8639E-28,
CH3COCH3,H,OH,e1,1177.4,3.2375E-28,
CH3COCH3,e1,CH2OH,H,1844.8,9.9195E-28,
CH3COCH3,H,CH2OH,e1,686.93,5.8599E-28,
CH3COCH3,e1,CHOH,H,1323.1,6.3537E-28,
CH3COCH3,H,CHOH,e1,1186.9,7.3108E-28,
CH3COCH3,e1,aCOH,H,2162.2,9.3551E-28,
CH3COCH3,H,aCOH,e1,1053.1,5E-28,
CH3COCH3,e1,aCCOOH,H,2732.9,4.7838E-28,
CH3COCH3,e1,aCNHaC,H,2208.9,7.5072E-28,
COO,e1,H2O,H,1245.8,4.5498E-28,
COO,e1,OH,H,1920.1,1.1485E-28,
COO,e1,aCCOOH,H,1772.3,9.4509E-28,
H2O,H,H2O,e1,1985.4,1.0169E-28,
H2O,e1,CH3OH,H,1993.5,1.0411E-28,
H2O,H,CH3OH,e1,1993.5,1.0411E-28,
H2O,e1,CO2,e1,1398.1,9.1419E-29,
H2O,e1,OH,H,500,1.3831E-27,
H2O,H,OH,e1,2225.6,1.1453E-28,
H2O,e1,CH2OH,H,621.68,4.25E-28,
H2O,H,CH2OH,e1,2153.2,1.474E-28,
H2O,e1,CHOH,H,2289.1,6.3813E-29,
H2O,H,CHOH,e1,2140.9,1.9478E-29,
H2O,e1,NH2,H,1988.3,5.5824E-29,
